FIPS,POP,SUM,RATE
16049,16272,89,546.95
16051,27157,87,320.36
16053,22814,108,473.39
16055,150346,856,569.35
16057,38778,103,265.61
16059,7735,15,193.92
16061,3789,54,1425.18
16063,5297,43,811.78
16065,38273,76,198.57
16067,20461,94,459.41
16069,40048,91,227.23
16071,4281,24,560.62
16073,11310,90,795.76
16075,22896,99,432.39
16077,7648,39,509.94
16079,12432,120,965.25
16081,10564,48,454.37
16083,82375,178,216.08
16085,10103,80,791.84
16087,9984,21,210.34
17003,6780,59,870.21
17007,53585,173,322.85
17009,6829,11,161.08
17011,33587,142,422.78
17015,14616,30,205.25
17017,12847,32,249.09
17019,208861,453,216.89
17025,13428,48,357.46
17027,37786,82,217.01
17029,52521,114,217.06
17031,5238216,1266,24.17
17033,19414,82,422.38
17035,10898,14,128.46
17037,104352,113,108.29
17041,19823,38,191.7
17043,933736,515,55.15
17045,17664,36,203.8
17049,34371,123,357.86
17051,22043,64,290.34
17053,13736,63,458.65
17055,39485,231,585.03
17057,35699,184,515.42
17059,5265,43,816.71
17061,13241,29,219.02
17063,50541,99,195.88
17065,8200,49,597.56
17073,49489,57,115.18
17075,28672,161,561.52
17077,59362,328,552.54
17079,9607,104,1082.54
17081,38353,345,899.54
17083,22372,140,625.78
17085,22086,80,362.22
17087,12762,119,932.46
17089,530847,367,69.13
17091,110879,306,275.98
17093,123355,277,224.56
17095,51441,222,431.56
17097,703910,875,124.31
17099,111333,200,179.64
17103,34584,102,294.93
17105,36671,124,338.14
17107,29494,74,250.9
17109,31333,27,86.17
17111,307343,322,104.77
17113,173166,147,84.89
17115,107303,320,298.22
17117,46045,260,564.67
17119,266209,1185,445.14
17121,38339,245,639.04
17123,11982,27,225.34
17125,13701,97,707.98
17129,12444,61,490.2
17133,33879,43,126.92
17135,28898,175,605.58
17137,34828,119,341.68
17139,14931,46,308.08
17141,51659,162,313.59
17143,186221,921,494.57
17145,21543,74,343.5
17147,16387,79,482.09
17149,15989,52,325.22
17155,5644,20,354.36
17157,32852,22,66.97
17161,146133,276,188.87
17167,198712,671,337.67
17169,7032,17,241.75
17171,5092,15,294.58
17173,21775,50,229.62
17175,5788,42,725.64
17177,45749,123,268.86
17183,79282,490,618.05
17185,11542,2,17.33
17191,16423,123,748.95
17195,57079,96,168.19
17197,687263,783,113.93
17199,67466,256,379.45
17201,287078,640,222.94
17203,39227,128,326.31
18003,368450,826,224.18
18005,81162,453,558.14
18009,12298,24,195.15
18023,32609,194,594.93
18043,76778,297,386.83
18047,22872,141,616.47
18051,33775,148,438.19
18053,67979,290,426.6
18059,72520,293,404.03
18067,82556,182,220.46
18071,44069,289,655.79
18075,21121,60,284.08
18079,27897,99,354.88
18091,110884,473,426.57
18093,45495,169,371.47
18095,129723,406,312.97
18127,167688,388,231.38
18131,12889,159,1233.61
18143,23744,225,947.61
18145,44478,212,476.64
18149,22958,232,1010.54
18151,34372,334,971.72
18157,185826,541,291.13
18163,181877,533,293.06
18167,107896,218,202.05
18173,61897,596,962.89
18177,67001,153,228.35
18181,24293,56,230.52
19001,7228,24,332.04
19003,3796,23,605.9
19005,13886,27,194.44
19007,12529,78,622.56
19013,133455,143,107.15
19015,26643,65,243.97
19017,24722,28,113.26
19019,21062,148,702.69
19021,20493,53,258.62
19023,14915,32,214.55
19025,9818,39,397.23
19029,13427,48,357.49
19031,18340,55,299.89
19033,43017,108,251.06
19035,11574,14,120.96
19037,12097,39,322.39
19039,9259,43,464.41
19041,16507,24,145.39
19043,17644,52,294.72
19045,47768,109,228.19
19047,17094,6,35.1
19051,8769,5,57.02
19055,17403,50,287.31
19057,40055,132,329.55
19059,17111,34,198.7
19061,97125,127,130.76
19063,9769,7,71.66
19069,10295,1,9.71
19071,6906,54,781.93
19075,12435,70,562.93
19077,10676,47,440.24
19079,15190,60,395
19081,10974,37,337.16
19083,17367,94,541.26
19085,14265,50,350.51
19087,19950,89,446.12
19089,9410,35,371.94
19091,9555,41,429.09
19093,7028,78,1109.85
19095,16401,63,384.12
19097,19444,26,133.72
19099,36827,50,135.77
19101,17555,28,159.5
19103,144251,261,180.93
19109,15165,38,250.58
19111,35089,123,350.54
19115,11185,81,724.18
19117,8682,80,921.45
19119,11745,68,578.97
19121,15753,28,177.74
19123,22324,87,389.72
19125,33294,63,189.22
19127,40746,136,333.78
19129,14844,115,774.72
19131,10832,5,46.16
19133,8979,53,590.27
19135,7973,25,313.56
19139,43011,77,179.02
19141,13984,78,557.78
19143,6154,87,1413.71
19145,15527,29,186.77
19147,9133,63,689.81
19149,24800,58,233.87
19153,467711,934,199.7
19155,93671,308,328.81
19159,5068,25,493.29
19161,10021,38,379.2
19163,172126,210,122
19165,11927,17,142.53
19167,34937,57,163.15
19169,96021,118,122.89
19171,17337,80,461.44
19173,6205,22,354.55
19175,12469,50,400.99
19177,7344,62,844.23
19179,35173,116,329.8
19181,48626,190,390.74
19183,22247,96,431.52
19185,6385,36,563.82
19187,37071,140,377.65
